Source,Reference,Organisms,Thermoregulation,Log body mass,Dispersal type,Trophic position,Realm,Habitat type,Hemisphere,Longitude,Scale,Grain log area kmsq,Diversity type,Range,Significance,Global richness log S,Measure,N,Slope b,SE b,Intercept,rz,Var rz
Dolan et al. 2002,Deepâ€êSea Res I 49:1217-1232,Tintinnid ciliates,Ecto,-6.2,Passive,Microbivores,Marine,Pelagic ocean,N,Atlantic,Local,-1.28,Alpha,11,Yes,,Index,10,0.06,0.02,0.41,0.96,0.14
Dressler 1981,"R. L. Dressler 1981, Orchids: natural history and classification, Harvard University Press, Cambridge, Mass.",Orchids,Ecto,0.7,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Regional,5.4,Gamma,60,Yes,4.3,S,12,-26.77,10.46,1381.3,-0.74,0.11
Dressler 1981,"R. L. Dressler 1981, Orchids: natural history and classification, Harvard University Press, Cambridge, Mass.",Orchids,Ecto,0.7,Seeds,Autotrophs,Terrestrial,All terrestrial,S,New World,Regional,5.96,Gamma,38,Yes,4.3,S,6,-66.7,7.6,2700.7,-2.18,0.33
Duarte 2001,"Levin 2001, vol. 5, pp. 255-268",Seagrasses,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,N,Worldwide,Local,,Alpha,55,Yes,1.7,Mean S,12,-0.06,0.02,3.83,-0.91,0.11
Duarte 2001,"Levin 2001, vol. 5, pp. 255-268",Seagrasses,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,S,Worldwide,Local,,Alpha,40,Yes,1.7,Mean S,9,-0.05,0.02,3.11,-0.81,0.17
Duellman 1990,"A. H. Gentry 1990, Four neotropical rainforests, Yale Univiversity Press, New Haven, Conn.",Amphibians,Ecto,1.06,Mobility,Omnivores,Terrestrial,Forest,Both,New World,Local,,Alpha,12,Yes,3.68,S,5,-4.16,0.33,90.28,-2.65,0.5
Duellman 1990,"A. H. Gentry. 1990, Four neotropical rainforests, Yale Univiversity Press, New Haven, Conn.",Reptils,Ecto,2.81,Mobility,Carnivores,Terrestrial,Forest,Both,New World,Local,,Alpha,12,No,3.85,S,5,-5.03,4.92,132.27,-0.56,0.5
Dumont and Segers 1996,Hydrobiologia 341:125-132,Rotifers,Ecto,-6.19,Passive,Microbivores,Freshwater,Lake,N,Eurafrica,Local,1,Alpha,55,No,3.18,S,8,0.05,0.05,50.2,0.41,0.2
Dumont and Segers 1996,Hydrobiologia 341:125-132,Copepods,Ecto,-3.74,Passive,Omnivores,Freshwater,Lake,N,Eurafrica,Local,1,Alpha,55,No,2.9,S,5,-1.23,0.78,202.94,-0.81,0.5
Eeley and Foley 1999,Biodivers Conserv 8:1033-1056,Primates,Homeo,3.64,Mobility,Omnivores,Terrestrial,All terrestrial,Both,Eurafrica,Regional,5.4,Gamma,40,Yes,2.37,S,102,,,,-1.1,0.01
Eggleton 2000,"Cited in Abe and Higashi, in Levin 2001, vol. 1, pp. 581-611",Termites,Ecto,-2.3,Flying,Omnivores,Terrestrial,All terrestrial,N,Worldwide,Regional,,Ranges,48,Yes,3.42,Higher,9,-0.74,0.08,34.37,-1.97,0.17
Eggleton 2000,"Cited in Abe and Higashi, in Levin, vol. 1, pp. 581-611",Termites,Ecto,-2.3,Flying,Omnivores,Terrestrial,All terrestrial,S,Worldwide,Regional,,Ranges,48,Yes,3.42,Higher,9,-0.59,0.09,33.98,-1.62,0.17
Ellingsen and Gray 2002,J Anim Ecol 71:373-389,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Local,-4.28,Alpha,15,No,5,S,101,,,,0.24,0.01
Ellingsen and Gray 2002,J Anim Ecol 71:373-389,Macroinvertebrates,Ecto,-1.58,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Regional,4,Gamma,15,No,5,S,5,10.01,10.44,-291.22,0.53,0.5
Errhif et al. 1997,Polar Biol 17:418-430,Copepods,Ecto,-3.74,Passive,Omnivores,Marine,Pelagic ocean,S,Indian Ocean,Local,-4.6,Alpha,20.5,No,3.9,Mean S,23,-0.18,0.14,24.43,-0.28,0.05
Errhif et al. 1997,Polar Biol 17:418-430,Copepods,Ecto,-3.74,Passive,Omnivores,Marine,Pelagic ocean,S,Indian Ocean,Local,-3.82,Alpha,20.5,No,3.9,Mean S,23,-0.29,0.27,43.64,-0.23,0.05
Errhif et al. 1997,Polar Biol 17:418-430,Copepods,Ecto,-3.74,Passive,Omnivores,Marine,Pelagic ocean,S,Indian Ocean,Local,-4.6,Alpha,20.5,Yes,3.9,Index,23,-0.03,0.01,3.76,-0.63,0.05
Errhif et al 1997,Polar Biol 17:418-430,Copepods,Ecto,-3.74,Passive,Omnivores,Marine,Pelagic ocean,S,Indian Ocean,Local,-3.82,Alpha,20.5,No,3.9,Index,23,-0.01,0.01,2.96,-0.12,0.05
Findley and Findley 2001,Ecol Monogr 71:69-91,Butterflyfish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,Both,Worldwide,Local,,Alpha,25,Yes,2.06,Mean S,37,-0.51,0.19,20.09,-0.44,0.03
Findley and Findley 2001,Ecol Monogr 71:69-91,Butterflyfish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,Both,Worldwide,Regional,,Gamma,25,Yes,2.06,S,18,-0.89,0.41,37.95,-0.52,0.07
Fine 2001,Evol Ecol Res 3:413-428,Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,N,New World,Regional,5.56,Gamma,31,Yes,4.85,S,8,-2.71,0.65,178.8,-1.3,0.2
Fine 2001,Evol Ecol Res 3:413-428,Trees,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,N,New World,Regional,5.4,Gamma,27,Yes,4.85,S,8,-7.59,1.08,437.14,-1.77,0.2
Finlay and Esteban 1998,Biodivers Conserv 7:1163-1186,Ciliates,Ecto,-6.2,Passive,Microbivores,Freshwater,Lake,N,Worldwide,Local,,Alpha,33,No,3.49,Mean S,12,1.3,0.94,-13.18,0.42,0.11
Finlay and Esteban 1998,Biodivers Conserv 7:1163-1186,Ciliates,Ecto,-6.2,Passive,Microbivores,Freshwater,Lake,N,Worldwide,Local,,Alpha,17,No,3.49,Mean S,15,-3.7,3.42,322.52,-0.3,0.08
Finlay and Esteban 1998,Biodivers Conserv 7:1163-1186,Ciliates,Ecto,-6.2,Passive,Microbivores,Freshwater,Lake,S,Worldwide,Local,,Alpha,30,No,3.49,Mean S,5,2.2,0.42,19.55,1.82,0.5
Fischer 1960,Evolution 14:64-81,Gastropods,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,Regional,,Gamma,25,Yes,5,S,6,-9.86,2.29,489.58,-1.51,0.33
Fischer 1960,Evolution 14:64-81,Gastropods,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Pacific,Regional,,Gamma,25,Yes,5,S,6,-2.45,0.74,218.94,-1.27,0.33
Fleming 1973,Ecology 54:555-563,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,Forest,N,New World,Local,,Alpha,56,Yes,3.68,S,7,-0.96,0.1,75.92,-2.18,0.25
"Foissner 1996, 1997, 1999","Biol Fert Soil 23:282-291, 25:317-339; Biodivers Conserv 8:319-389",Ciliates,Ecto,-6.2,Passive,Microbivores,Terrestrial,Soil,N,Worldwide,Local,,Alpha,43,No,3.49,S,6,1.71,0.73,20.31,0.99,0.33
"Foissner 1996, 1997, 1999","Biol Fert Soil 23:282-291, 25:317-339, Biodivers Conserv 8:319-389",Ciliates,Ecto,-6.2,Passive,Microbivores,Terrestrial,Soil,S,Worldwide,Local,,Alpha,66,No,3.49,S,9,-0.92,0.69,99.05,-0.49,0.17
Foissner 1999,Protist 150:363-368,Ciliates,Ecto,-6.2,Passive,Microbivores,Terrestrial,Soil,Both,Worldwide,Local,,Alpha,46,No,3.49,S,5,-0.29,0.62,98.34,-0.27,0.5
France 1992,Am Nat 139:342-354,Amphipoda,Ecto,-2.1,Mobility,Omnivores,Freshwater,All freshwater,N,New World,Regional,,Gamma,40,Yes,3.56,S,9,-1.27,0.52,86.19,-0.82,0.17
France 1992,Am Nat 139:342-354,Crayfish,Ecto,1.25,Mobility,Omnivores,Freshwater,All freshwater,N,New World,Regional,,Gamma,45,No,2,S,10,-0.76,0.99,61.53,-0.27,0.14
Fraser and Currie 1996,Am Nat 148:138-159,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Worldwide,Local,,Alpha,50,No,3.4,Higher,,,,,-0.27,
Gaines and Lubchenco 1981,Ann Rev Ecol Syst 13:111-138,Macroalgae,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,N,Atlantic,Regional,,Ranges,60,Yes,3.48,S,13,-5.59,1.24,426.18,-1.12,0.1
Gaines and Lubchenco 1981,Ann Rev Ecol Syst 13:111-138,Macroalgae,Ecto,0.67,Seeds,Autotrophs,Marine,Benthos coastal,N,Pacific,Regional,,Ranges,60,No,3.48,S,13,-2.04,2.55,412.57,-0.24,0.1
Gauld 1986,Ecol Entomol 11:155-161,Ichneumonidae,Ecto,-2.3,Flying,Parasite,Terrestrial,All terrestrial,S,Australasia,Regional,6,,20,No,4.48,S,3,7.25,6.37,639.6,0.98,
Gentry 1988,Ann Mo Bot Gard 75:1-34,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Worldwide,Local,-3,Alpha,54,Yes,5.37,S,42,-2.59,0.51,129.4,-0.74,0.03
Gentry 1988,Ann Missouri Bot Gard 75:1-34,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Worldwide,Local,-3,Alpha,49,Yes,5.37,S,33,-3.15,0.74,170.3,-0.71,0.03
Gentry 1988,Ann Mo Bot Gard 75:1-34,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Worldwide,Local,-3,Alpha,54,Yes,5.37,Index,37,-0.08,0.01,6.5,-1.28,0.03
Gentry 1988,Ann Mo Bot Gard 75:1-34,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Worldwide,Local,-3,Alpha,49,Yes,5.37,Index,29,-0.08,0.01,6.93,-0.97,0.04
Gentry 1988,Ann Mo Bot Gard 75:1-34,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Worldwide,Local,-3,Alpha,54,Yes,5.37,Higher,41,-0.64,0.1,41.25,-0.91,0.03
Gentry 1988,Ann Mo Bot Gard 75:1-34,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Worldwide,Local,-3,Alpha,49,Yes,5.37,Higher,33,-0.68,0.13,48.5,-0.86,0.03
Gillooly and Dodson 2000,Limnol Oceanogr 45:22-30,Cladocera,Ecto,-3.74,Passive,Herbivores,Freshwater,Lake,N,New World,Regional,,Gamma,77.5,Yes,2.9,S,19,-0.42,0.06,14.23,-0.11,0.06
Gillooly and Dodson 2000,Limnol Oceanogr 45:22-30,Cladocera,Ecto,-3.74,Passive,Herbivores,Freshwater,Lake,S,New World,Regional,,Gamma,68,No,2.9,S,6,-0.11,0.04,9.47,-1.18,0.33
Glaser 1992,J Ecol 80:535-554,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,Nonforest,N,New World,Local,0.35,Alpha,10,Yes,5.37,S,64,-1.73,0.38,109.41,-0.55,0.02
Glennâ€êLewin 1977,Vegetatio 33:153-162,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,Forest,N,New World,Local,-3,Alpha,10,No,5.37,Mean S,6,-0.77,0.78,64.2,-0.48,0.33
Glover et al. 2002,Mar Ecol Prog Ser 240:157-170,Polychaetes,Ecto,-3.5,Pelagic larvae,Omnivores,Marine,Deep sea,N,Pacific,Local,-6.6,Alpha,15,No,3.6,Index,5,-0.01,0.05,1.49,-1.22,0.5
Glover et al. 2002,Mar Ecol Prog Ser 240:157-170,Polychaetes,Ecto,-3.5,Pelagic larvae,Omnivores,Marine,Deep sea,N,Pacific,Local,-6.6,Alpha,15,Yes,3.6,Sst,5,-0.29,0.05,24.11,-1.97,0.5
Golovatch 1997,"Cited in Minelli and Golovatch, in Levin 2001, vol. 4, pp. 291-303",Myriopods,Ecto,-2,Mobility,Omnivores,Terrestrial,All terrestrial,N,Australasia,Regional,4,Ranges,70,No,4.04,Higher,24,-0.14,0.13,34.27,-0.23,0.05
Gotelli and Ellison 2002,Ecology 83:1604-1609,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,Forest,N,New World,Local,0,Alpha,47,Yes,3.78,S,67,-1.79,0.23,79.68,-0.85,0.02
Gotelli and Ellison 2002,Ecology 83:1604-1609,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,Nonforest,N,New World,Local,0,Alpha,47,Yes,3.78,S,69,-0.43,0.12,25.84,-0.42,0.02
Green 1994,Hydrobiologia 272:13-26,Rotifers,Ecto,-6.19,Passive,Microbivores,Freshwater,Lake,N,Worldwide,Local,2,Alpha,67,No,3.18,S,10,-0.06,0.12,30.69,-0.17,0.14
Green 1994,Hydrobiologia 272:13-26,Rotifers,Ecto,-6.19,Passive,Microbivores,Freshwater,Lake,S,Worldwide,Local,2,Alpha,62,No,3.18,S,3,-0.23,0.15,26.76,-1.25,
Grice and Hart 1962,Ecol Monogr 32:287-307,Zooplankton,Ecto,-4.56,Passive,Omnivores,Marine,Pelagic ocean,N,Atlantic,Local,,Alpha,10,No,4.11,S,3,-6.76,5.43,330.63,-1.05,
Griffiths 1997,J Anim Ecol 66:49-56,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,N,New World,Regional,-0.75,Gamma,45,Yes,4.4,S,15,-6.34,1.18,435.5,-1.19,0.08
Guillet and Crowe 1985,Afr J Ecol 23:89-120,Waterbirds,Homeo,2.9,Flying,Omnivores,Terrestrial,Nonforest,N,Eurafrica,Regional,4.2,Ranges,16,Yes,3.18,S,46,-2.56,0.52,71.51,-0.69,0.02
Guillet and Crowe 1985,Afr J Ecol 23:89-120,Waterbirds,Homeo,2.9,Flying,Omnivores,Terrestrial,Nonforest,S,Eurafrica,Regional,4.2,Ranges,27,No,3.18,S,43,-0.39,0.33,79.84,-0.18,0.03
Harrison 1960,"Cited in C. B. Williams 1964, Patterns in the balance of nature, Academic Press, New York.",Small mammals,Homeo,1,Mobility,Omnivores,Terrestrial,Forest,Both,Australasia,Local,,Alpha,13.58,No,3.68,Sst,5,0.04,0.04,-0.21,0.6,0.5
Harrison 1960,"Cited in C. B. Williams 1964, Patterns in the balance of nature, Academic Press, New York.",Small mammals,Homeo,1,Mobility,Omnivores,Terrestrial,Forest,Both,Australasia,Local,,Alpha,13.58,No,3.68,Index,5,-0.45,0.23,10.42,-0.95,0.5
Hartmeyer 191,"Cited in Fischer 1960, Evolution 14:64-81",Tunicates,Ecto,-2,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Worldwide,Regional,,Gamma,30,Yes,3.32,S,5,-7.83,1.89,661.95,-1.61,0.5
Haskell 2001,Evol Ecol Res 3:345-360,Vascular plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Regional,,,31,,5.37,Higher,22,-0.71,,67,-0.69,0.05
Hawkins and Compton 1992,J Anim Ecol 61:361-372,Galling insects,Ecto,-2.52,Flying,Parasite,Terrestrial,Biota,Both,Eurafrica,Regional,,Gamma,30,No,3.9,S,74,0.01,0.03,4.04,0.03,0.01
Hawkins and Compton 1992,J Anim Ecol 61:361-372,Parasitoid on galler,Ecto,-2.3,Flying,Parasite,Terrestrial,Biota,Both,Eurafrica,Regional,,Gamma,30,Yes,3,S,85,0.06,0.03,1.78,0.23,0.01
Hawkins and Porter 2001,Ecol Lett 4:595-601,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Worldwide,Regional,6,Ranges,64,Yes,3.95,S,13,-5.08,1.66,431.51,-0.8,0.1
Hawkins and Porter 2001,Ecol Lett 4:595-601,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Worldwide,Regional,6,Ranges,31,Yes,3.95,S,11,-19.51,6.13,801,-0.89,0.13
Hecnar 1999,Ecography 22:436-446,Turtles,Ecto,2.46,Mobility,Omnivores,Terrestrial,All terrestrial,N,Worldwide,Regional,6,Ranges,40,No,2.3,S,9,-0.02,0.24,18.41,-0.04,0.17
Hecnar 1999,Ecography 22:436-446,Turtles,Ecto,2.46,Mobility,Omnivores,Terrestrial,All terrestrial,S,Worldwide,Regional,6,Ranges,35,No,2.3,S,7,-0.13,0.01,12.96,-0.87,0.25
Heggberget 1987,Holarct Ecol 10:81-89,Limicoles,Homeo,2.1,Flying,Carnivores,Terrestrial,Nonforest,N,Eurafrica,Local,,Alpha,14,No,2.48,S,22,,,,-0.38,0.05
Heggberget 1987,Holarct Ecol 10:81-89,Passerines,Homeo,2.02,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Local,,Alpha,14,Yes,3.76,S,28,,,,-1.07,0.04
Heino 2002,Biodivers Conserv 11:137-147,Aquatic vascular plants,Ecto,0.7,Seeds,Autotrophs,Freshwater,All freshwater,N,Eurafrica,Regional,4.48,Gamma,15,Yes,3.48,Sst,74,-0.28,0.03,20.55,-1.08,0.01
Heino 2002,Biodivers Conserv 11:137-147,Coleoptera,Ecto,-0.35,Flying,Omnivores,Freshwater,All freshwater,N,Eurafrica,Regional,4.48,Gamma,15,Yes,3.7,Sst,74,-0.15,0.03,12.67,-0.61,0.01
Heino 2002,Biodivers Conserv 11:137-147,Odonata,Ecto,-0.5,Flying,Carnivores,Freshwater,All freshwater,N,Eurafrica,Regional,4.48,Gamma,15,Yes,3.7,Sst,74,-0.25,0.03,18.45,-0.92,0.01
Heino 2002,Biodivers Conserv 11:137-147,Plecoptera,Ecto,-1.96,Flying,Omnivores,Freshwater,All freshwater,N,Eurafrica,Regional,4.48,Gamma,15,Yes,3.3,Sst,74,0.13,0.03,-4.9,0.56,0.01
Heino 2002,Biodivers Conserv 11:137-147,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,All freshwater,N,Eurafrica,Regional,4.48,Gamma,15,Yes,4.4,Sst,74,-0.13,0.04,10.96,-0.37,0.01
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Marine,Benthos coastal,N,Worldwide,Local,-2,Alpha,53.18,No,4.3,S,59,-0.33,0.82,142.33,-0.05,0.02
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Freshwater,Lake,N,Worldwide,Local,-2,Alpha,69.67,No,4.3,S,32,1.39,1.44,79.81,0.17,0.03
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Freshwater,Stream,N,Worldwide,Local,-2,Alpha,69.07,No,4.3,S,56,-0.06,0.36,79.3,-0.02,0.02
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Marine,Benthos coastal,S,Worldwide,Local,-2,Alpha,31.14,No,4.3,S,4,0.5,0.33,21.42,0.93,1
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Freshwater,Lake,S,Worldwide,Local,-2,Alpha,67.5,Yes,4.3,S,25,-1.54,0.41,167.23,-0.72,0.05
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Freshwater,Stream,S,Worldwide,Local,-2,Alpha,44.11,No,4.3,S,4,-1.75,0.96,169.23,-1.08,1
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Aquatic,All aquatic,N,Worldwide,Regional,3,Gamma,70,No,4.3,S,24,0.51,5.61,620.73,0.02,0.05
Hillebrand and Azovsky 2001,Ecography 24:251-256,Diatoms,Ecto,-8.11,Passive,Autotrophs,Aquatic,All aquatic,S,Worldwide,Regional,3,Gamma,66,No,4.3,S,9,-3.71,7.74,665.91,-0.18,0.17
"Hillebrand, unpublished",Unpublished,Diatoms,Ecto,-8.11,Passive,Autotrophs,Marine,Benthos coastal,N,Worldwide,Local,0.01,Alpha,43,No,4.3,Index,31,-0.02,0.02,4.43,-0.23,0.04
"Hillebrand, unpublished",Unpublished,Diatoms,Ecto,-8.11,Passive,Autotrophs,Marine,Benthos coastal,N,Worldwide,Local,0.01,Alpha,43,No,4.3,Index,28,-0.02,0.02,5.14,-0.18,0.04
"Hillebrand, unpublished",Unpublished,Diatoms,Ecto,-8.11,Passive,Autotrophs,Aquatic,All aquatic,N,Worldwide,Local,-2,Gamma,42.5,No,4.3,Index,42,0.01,0.02,3.52,0.09,0.03
Hooper et al. 2002,Biodivers Conserv 11:851-885,Porifera,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Indian Ocean,Regional,,Gamma,17,,3.7,S,35,-0.48,2.71,132.41,-0.03,0.03
Hooper et al. 2002,Biodivers Conserv 11:851-885,Porifera,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Indian Ocean,Regional,,Gamma,17,,3.7,Higher,35,-0.18,0.95,63.77,-0.03,0.03
Horn and Allen 1978,J Biogeogr 5:23-42,Coastal fish,Ecto,2.43,Mobility,Omnivores,Marine,Coastal pelagic,N,Pacific,Regional,2.3,Ranges,10,Yes,4.4,S,11,-11.23,1.83,568.5,-1.47,0.13
Hubendick 1962,Oikos 13:249-261,Gastropods,Ecto,-1.6,Mobility,Omnivores,Freshwater,All freshwater,N,Australasia,Regional,6,Gamma,56,,5,Higher,29,-0.15,0.02,11.1,-1.33,0.04
Hubendick 1962,Oikos 13:249-261,Gastropods,Ecto,-1.6,Mobility,Omnivores,Freshwater,All freshwater,N,Eurafrica,Regional,6.5,Gamma,70,,5,Higher,36,0.1,0.02,6.66,0.75,0.03
Hubendick 1962,Oikos 13:249-261,Gastropods,Ecto,-1.6,Mobility,Omnivores,Freshwater,All freshwater,N,New World,Regional,6.1,Gamma,70,No,5,Higher,36,0,0.02,9.58,-0.02,0.03
Hubendick 1962,Oikos 13:249-261,Gastropods,Ecto,-1.6,Mobility,Omnivores,Freshwater,All freshwater,S,Australasia,Regional,6,Gamma,44,,5,Higher,23,-0.17,0.02,11.2,-1.34,0.05
Hubendick 1962,Oikos 13:249-261,Gastropods,Ecto,-1.6,Mobility,Omnivores,Freshwater,All freshwater,S,Eurafrica,Regional,5.7,Gamma,28,,5,Higher,15,-0.02,0.01,9.19,-0.68,0.08
Hubendick 1962,Oikos 13:249-261,Gastropods,Ecto,-1.6,Mobility,Omnivores,Freshwater,All freshwater,S,New World,Regional,6,Gamma,50,,5,Higher,26,-0.11,0.01,9.62,-1.2,0.04
Hughes et al. 2002,Ecol Lett 5:775-784,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Indian Ocean,Regional,,Gamma,30,No,3.4,S,9,-6.43,6.44,402.42,-0.37,0.17
Hughes et al. 2002,Ecol Lett 5:775-784,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Indian Ocean,Regional,,Gamma,28,Yes,3.4,S,8,-14.52,4.21,541.9,-1.14,0.2
Hughes et al. 2002,Ecol Lett 5:775-784,Coral reef fish,Ecto,2.43,Pelagic larvae,Omnivores,Marine,Benthos coastal,Both,Indian Ocean,Regional,,Gamma,30,No,4.4,S,9,-8.4,6.6,482.18,-0.46,0.17
Hughes et al. 2002,Ecol Lett 5:775-784,Coral reef fish,Ecto,2.43,Pelagic larvae,Omnivores,Marine,Benthos coastal,Both,Indian Ocean,Regional,,Gamma,28,Yes,4.4,S,8,-16.64,5.76,749.89,-1,0.2
Hutchings 1998,Biodivers Conserv 7:1133-1145,Polychaetes,Ecto,-3.5,Pelagic larvae,Omnivores,Marine,Benthos coastal,Both,Worldwide,Local,,Alpha,22,No,3.6,S,11,4.07,4.29,7.29,0.31,0.13
Janzen 1981,Ecology 62:532-537,Ichneumonidae,Ecto,-2.3,Flying,Parasite,Terrestrial,All terrestrial,N,New World,Regional,4,Ranges,50,No,4.48,S,20,-6.26,5.76,772.62,-0.25,0.06
Jeanne 1979,Ecology 60:1211-1224,Ants,Ecto,-2.4,Flying,Omnivores,Terrestrial,All terrestrial,Both,New World,Local,,Alpha,45,Yes,3.78,S,5,-0.88,0.25,55.98,-1.47,0.5
Jetz and Rahbek 2001,Proc Natl Acad Sci USA 98:5661-5666,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,5.57,Ranges,32,,3.95,S,34,-19.59,1.12,900.43,-1.85,0.03
Jetz and Rahbek 2001,Proc Natl Acad Sci USA 98:5661-5666,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Eurafrica,Regional,5.57,Ranges,20,,3.95,S,20,-49.61,3,1098,-2.08,0.06
Jetz and Rahbek 2002,Science 297:1548-1551,Narrow ranged birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,4.08,Ranges,20,Yes,3.95,S,957,-0.35,0.03,5.4,-0.38,0
Jetz and Rahbek 2002,Science 297:1548-1551,Wide ranged birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Regional,4.08,Ranges,20,Yes,3.95,S,957,-6.88,0.35,195.57,-0.6,0
Jetz and Rahbek 2002,Science 297:1548-1551,Narrow ranged birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Eurafrica,Regional,4.08,Ranges,34,Yes,3.95,S,781,-0.14,0.03,5.13,-0.2,0
Jetz and Rahbek 2002,Science 297:1548-1551,Wide ranged birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,S,Eurafrica,Regional,4.08,Ranges,34,Yes,3.95,S,781,-3.16,0.24,228.34,-0.46,0
Johnson 1998,J Anim Ecol 67:689-698,Rodents,Homeo,1.69,Mobility,Omnivores,Terrestrial,Forest,S,Australasia,Regional,4.29,Ranges,38,Yes,3.31,S,28,-0.16,0.06,12.97,-0.5,0.04
Johnson 1998,J Anim Ecol 67:689-698,Marsupials,Homeo,2.78,Mobility,Omnivores,Terrestrial,Forest,S,Australasia,Regional,4.29,Ranges,38,Yes,2.44,S,29,0.35,0.09,17.31,0.72,0.04
Johnson 2000,J North Am Benthol Soc 19:475-486,Macroinvertebrats,Ecto,-1.58,,Omnivores,Freshwater,Stream,N,Eurafrica,Local,-4,Alpha,11,No,5,Mean S,6,-0.53,0.23,46.17,-0.99,0.33
Johnson 2000,J North Am Benthol Soc 19:475-486,Macroinvertebrats,Ecto,-1.58,,Omnivores,Freshwater,Stream,N,Eurafrica,Local,-4,Alpha,11,No,5,Index,6,-0.01,0.01,1.49,-0.86,0.33
JÃ_rvinen 1979,Oecologia (Berl) 38:51-69,Land birds,Homeo,2.07,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Local,-0.52,Alpha,20,Yes,3.85,S,15,-1.39,0.33,104.58,-1.01,0.08
JÃ_rvinen 1979,Oecologia (Berl) 38:51-69,Land birds,Homeo,2.07,Flying,Omnivores,Terrestrial,All terrestrial,N,Eurafrica,Local,-0.52,Alpha,20,Yes,3.85,Index,15,-0.08,0.02,7.15,-1.08,0.08
"Karlsson, personal communication",Personal communication,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Worldwide,Local,,Alpha,31,No,3.4,S,751,0.04,0.05,9.47,0.03,0
